fight_fighter,opponent,fight_result,kd,str,td,sub,event,event_date,method,round,time
Adam Antolin,Javi Alanis,win,-- --,-- --,-- --,-- --,Strikeforce - Young Guns 3,"Sep. 13, 2008",KO/TKO,2,1:41
Adam Antolin,Hugo Govea,win,-- --,-- --,-- --,-- --,Strikeforce - Young Guns 2,"Feb. 1, 2008",SUB Rear Naked Choke,1,1:31
Angelo Antonio,Mauricio Rua,loss,0 0,1 7,0 1,0 0,Meca 8,"May. 16, 2003",KO/TKO Kicks,1,0:55
Vanilto Antunes,Islam Dulatov,loss,0 1,15 39,0 1,0 0,DWCS 8.9,"Oct. 08, 2024",KO/TKO Elbow,1,2:44
Azunna Anyanwu,Justin Ledet,loss,0 0,37 36,0 0,0 0,UFC Fight Night: Rockhold vs. Branch,"Sep. 16, 2017",S-DEC,3,5:00
Azunna Anyanwu,Greg Rebello,win,1 0,20 21,1 0,0 0,DWCS 1.1,"Jul. 11, 2017",KO/TKO Punch,2,3:04
Shinsho Anzai,Jake Matthews,loss,0 0,1 12,0 1,0 1,UFC Fight Night: Cowboy vs. Edwards,"Jun. 23, 2018",SUB Rear Naked Choke,1,2:44
Shinsho Anzai,Luke Jumeau,win,0 0,51 49,1 0,0 0,UFC Fight Night: Saint Preux vs. Okami,"Sep. 22, 2017",U-DEC,3,5:00
Shinsho Anzai,Roger Zapata,win,0 0,23 28,2 0,0 1,UFC Fight Night: Barnett vs Nelson,"Sep. 26, 2015",KO/TKO,3,0:47
Shinsho Anzai,Alberto Mina,loss,0 1,31 34,1 0,0 0,UFC Fight Night: Bisping vs Le,"Aug. 23, 2014",KO/TKO Punch,1,4:17
Jin Aoi,ChangMin Yoon,loss,0 0,24 87,0 2,0 0,Road to UFC 4.1 + 4.2,"May. 22, 2025",S-DEC,3,5:00
Shinya Aoki,Antonio McKee,win,0 0,5 3,2 1,0 0,DREAM 18,"December. 31, 2012",KO/TKO Punch,2,0:24
Shinya Aoki,Satoru Kitaoka,win,0 0,27 18,6 0,6 1,DREAM - New Year! 2011,,U-DEC,5,5:00
Shinya Aoki,Rob McCullough,win,0 0,4 0,2 0,1 0,DREAM 17,"Sep. 24, 2011",SUB Neck Crank,1,4:57
Shinya Aoki,Rich Clementi,win,0 0,24 3,3 0,1 1,DREAM - Fight for Japan,"May. 29, 2011",SUB Neck Crank,2,2:32
Shinya Aoki,Lyle Beerbohm,win,0 0,2 1,1 0,1 0,Strikeforce - Diaz vs. Daley,"Apr. 09, 2011",SUB Neck Crank,1,1:33
Shinya Aoki,Yokthai Sithoar,win,0 0,0 0,1 0,1 0,DEEP 50 - Impact,"Oct. 24, 2010",SUB Keylock,1,1:00
Shinya Aoki,Marcus Aurelio,win,0 0,17 3,3 0,0 1,DREAM 16,"Sep. 25, 2010",U-DEC,2,5:00
Shinya Aoki,Tatsuya Kawajiri,win,0 0,0 2,0 0,3 0,DREAM 15,,SUB Ankle Lock,1,1:53
Shinya Aoki,Gilbert Melendez,loss,0 0,11 69,0 0,1 0,Strikeforce - Nashville,,U-DEC,5,5:00
Shinya Aoki,Mizuto Hirota,win,0 0,5 0,1 0,1 0,Dynamite!! 2009,"Dec. 31, 2009",SUB Other - Lock,1,1:17
Shinya Aoki,Joachim Hansen,win,0 0,5 15,5 0,1 1,DREAM 11: Featherweight Grand Prix 2009 Final Round,,SUB Armbar,2,4:56
Shinya Aoki,Vitor Ribeiro,win,0 0,31 11,0 1,0 0,DREAM 10: Welterweight Grand Prix 2009 Final Round,"Jul. 20, 2009",U-DEC,2,5:00
Shinya Aoki,Hayato Sakurai,loss,0 0,0 7,1 0,0 0,DREAM 8: Welterweight Grand Prix 2009 1st Round,"Apr. 5, 2009",KO/TKO Punches,1,0:27
Shinya Aoki,David Gardner,win,0 0,2 1,1 0,3 0,DREAM 7: Featherweight Grand Prix 2009 1st Round,"Mar. 8, 2009",SUB Rear Naked Choke,1,5:58
Shinya Aoki,Eddie Alvarez,win,0 0,1 2,0 1,2 0,Dynamite!! 2008,"Dec. 31, 2008",SUB Heel Hook,1,1:32
Shinya Aoki,Todd Moore,win,0 0,2 1,1 0,1 0,DREAM 6: Middleweight Grand Prix 2008 Final Round,"Sep. 23, 2008",SUB Neck Crank,1,1:10
Shinya Aoki,Joachim Hansen,loss,0 0,1 12,1 0,1 0,DREAM 5: Lightweight Grand Prix 2008 Final Round,,KO/TKO Punches,1,4:19
Shinya Aoki,Caol Uno,win,0 0,4 17,2 0,5 0,DREAM 5: Lightweight Grand Prix 2008 Final Round,"Jul. 21, 2008",U-DEC,2,5:00
Shinya Aoki,Katsuhiko Nagata,win,0 0,8 0,2 0,2 0,DREAM 4: Middleweight Grand Prix 2008 2nd Round,"Jun. 15, 2008",SUB Gogo Plata,1,5:12
Shinya Aoki,Gesias Cavalcante,win,0 0,8 20,1 0,9 0,DREAM 2: Middleweight Grand Prix 2008 1st Round,"Apr. 29, 2008",U-DEC,2,5:00
Shinya Aoki,Gesias Cavalcante,nc,0 0,4 9,0 1,0 0,DREAM 1: Lightweight Grand Prix 2008 1st Round,"Mar. 15, 2008",CNC,1,3:46
Shinya Aoki,Bu-Kyung Jung,win,0 0,24 3,1 2,6 2,Yarrenoka! - New Year's Eve 2007,"Dec. 31, 2007",U-DEC,2,5:00
Shinya Aoki,Brian Lo-A-Njoe,win,0 0,0 6,1 0,1 0,PRIDE 34: Kamikaze,"April. 8, 2007",SUB Armbar,1,1:33
Shinya Aoki,Akira Kikuchi,win,0 0,6 55,0 2,5 0,Shooto - Back to Our Roots 1,"Feb. 17, 2007",S-DEC,3,5:00
Shinya Aoki,Joachim Hansen,win,0 0,6 2,2 0,1 0,PRIDE Shockwave 2006,"Dec. 31, 2006",SUB Gogo Plata,1,2:24
Shinya Aoki,Clay French,win,0 0,5 6,0 0,2 0,PRIDE Bushido 13,"Nov. 5, 2006",SUB Triangle Choke,1,3:57
