fight_fighter,opponent,fight_result,kd,str,td,sub,event,event_date,method,round,time
Andrew Craig,Luke Barnatt,loss,0 2,26 39,0 1,0 1,UFC Fight Night: Machida vs Munoz,"October. 26, 2013",SUB Rear Naked Choke,2,2:12
Andrew Craig,Chris Leben,win,0 0,64 30,2 0,0 0,UFC 162: Silva vs Weidman,"July. 6, 2013",S-DEC,3,5:00
Andrew Craig,Ronny Markes,loss,0 0,20 5,0 2,0 2,UFC on FX: Belfort vs Bisping,"January. 19, 2013",U-DEC,3,5:00
Andrew Craig,Rafael Natal,win,1 2,23 73,0 2,0 0,UFC on FUEL TV: Munoz vs Weidman,"July. 11, 2012",KO/TKO Kick,2,4:52
Andrew Craig,Kyle Noke,win,0 0,36 36,1 3,0 1,UFC on FX: Alves vs Kampmann,"March. 2, 2012",U-DEC,3,5:00
Paul Craig,Modestas Bukauskas,loss,0 0,6 22,0 0,0 0,UFC Fight Night: Imavov vs. Borralho,"September. 6, 2025",KO/TKO Elbow,1,5:00
Paul Craig,Rodolfo Bellato,nc,0 0,17 10,0 1,0 0,UFC Fight Night: Usman vs. Buckley,"June. 14, 2025",CNC,1,4:59
Paul Craig,Bo Nickal,loss,0 0,47 54,0 0,0 0,UFC 309: Jones vs. Miocic,"November. 16, 2024",U-DEC,3,5:00
Paul Craig,Caio Borralho,loss,0 1,22 36,0 0,0 0,UFC 301: Pantoja vs. Erceg,"May. 4, 2024",KO/TKO Punches,2,2:10
Paul Craig,Brendan Allen,loss,0 0,6 32,0 2,1 2,UFC Fight Night: Allen vs. Craig,"November. 18, 2023",SUB Rear Naked Choke,3,0:38
Paul Craig,Andre Muniz,win,0 0,40 24,2 2,1 0,UFC Fight Night: Aspinall vs. Tybura,"July. 22, 2023",KO/TKO Elbows,2,4:40
Paul Craig,Johnny Walker,loss,0 1,3 16,0 0,0 0,UFC 283: Teixeira vs. Hill,"January. 21, 2023",KO/TKO Punches,1,2:16
Paul Craig,Volkan Oezdemir,loss,0 0,33 72,0 1,0 0,UFC Fight Night: Blaydes vs. Aspinall,"July. 23, 2022",U-DEC,3,5:00
Paul Craig,Nikita Krylov,win,0 0,2 19,1 1,1 0,UFC Fight Night: Volkov vs. Aspinall,"March. 19, 2022",SUB Triangle Choke,1,3:57
Paul Craig,Jamahal Hill,win,0 0,23 1,0 0,3 0,UFC 263: Adesanya vs. Vettori 2,"June. 12, 2021",KO/TKO Punches,1,1:59
Paul Craig,Mauricio Rua,win,0 0,29 10,4 0,0 0,UFC 255: Figueiredo vs. Perez,"November. 21, 2020",KO/TKO Punches,2,3:36
Paul Craig,Gadzhimurad Antigulov,win,0 0,2 11,0 1,1 0,UFC Fight Night: Whittaker vs. Till,"July. 25, 2020",SUB Triangle Choke,1,2:06
Paul Craig,Mauricio Rua,draw,0 0,51 25,1 1,1 0,UFC Fight Night: Blachowicz vs. Jacare,"November. 16, 2019",S-DEC,3,5:00
Paul Craig,Vinicius Moreira,win,1 0,18 1,1 0,1 0,UFC Fight Night: Rodriguez vs. Stephens,"September. 21, 2019",SUB Rear Naked Choke,1,3:19
Paul Craig,Alonzo Menifield,loss,0 0,7 8,0 0,0 0,UFC Fight Night: Ngannou vs. Dos Santos,"June. 29, 2019",KO/TKO Punch,1,3:19
Paul Craig,Kennedy Nzechukwu,win,0 0,25 40,1 0,2 0,UFC Fight Night: Barboza vs. Gaethje,"March. 30, 2019",SUB Triangle Choke,3,4:20
Paul Craig,Jimmy Crute,loss,0 0,12 17,3 1,0 4,UFC Fight Night: Dos Santos vs. Tuivasa,"December. 1, 2018",SUB Kimura,3,4:51
Paul Craig,Magomed Ankalaev,win,0 0,18 59,2 0,1 0,UFC Fight Night: Werdum vs. Volkov,"March. 17, 2018",SUB Triangle Choke,3,4:59
Paul Craig,Khalil Rountree Jr.,loss,0 1,17 15,0 0,0 0,UFC Fight Night: Nelson vs. Ponzinibbio,"July. 16, 2017",KO/TKO Punch,1,4:56
Paul Craig,Tyson Pedro,loss,0 1,12 23,0 0,0 0,UFC 209: Woodley vs. Thompson 2,"March. 4, 2017",KO/TKO Elbows,1,4:10
Paul Craig,Henrique da Silva,win,0 0,31 16,1 1,3 0,UFC on FOX: VanZant vs. Waterson,"December. 17, 2016",SUB Armbar,2,1:59
Dan Cramer,Matthew Riddle,loss,0 0,5 47,0 2,1 2,UFC 101: Declaration,"August. 8, 2009",U-DEC,3,5:00
Dan Cramer,Matt Arroyo,win,0 0,24 16,0 2,0 5,UFC 94: St-Pierre vs Penn 2,"January. 31, 2009",S-DEC,3,5:00
Alberto Crane,Kurt Pellegrino,loss,1 0,4 23,0 1,2 0,UFC Fight Night: Swick vs Burkman,"January. 23, 2008",KO/TKO Punches,2,1:55
Alberto Crane,Roger Huerta,loss,0 0,4 26,0 0,3 0,UFC 74: Respect,"August. 25, 2007",KO/TKO Punches,3,1:50
Tim Credeur,Ed Herman,loss,0 1,11 11,0 0,0 0,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,"June. 4, 2011",KO/TKO Punch,1,0:48
Tim Credeur,Nate Quarry,loss,1 2,40 53,0 0,1 0,UFC Fight Night: Diaz vs Guillard,"September. 16, 2009",U-DEC,3,5:00
Tim Credeur,Nick Catone,win,0 0,9 19,0 3,7 0,UFC Fight Night: Condit vs Kampmann,"April. 1, 2009",SUB Guillotine Choke,2,3:45
Tim Credeur,Nate Loughran,win,0 0,52 25,1 0,0 0,UFC Fight Night - Fight for the Troops,"December. 10, 2008",KO/TKO,2,5:00
Tim Credeur,Cale Yarbrough,win,1 0,19 6,0 0,0 0,UFC: Silva vs Irvin,"July. 19, 2008",KO/TKO Punches,1,1:54
Paul Creighton,BJ Penn,loss,0 0,6 39,3 0,0 0,UFC 37: High Impact,"May. 10, 2002",KO/TKO Punches,2,3:23
,,,,,,,,,,,
Alexander Crispim,AJ Fonseca,win,-- --,-- --,-- --,-- --,Strikeforce - Evolution,"December. 19, 2009",U-DEC,3,5:00
Alex Crispin,Clint Coronel,win,-- --,-- --,-- --,-- --,"Strikeforce - Four Men Enter, One Man Survives","November. 16, 2007",U-DEC,3,5:00
Melissa Croden,Luana Santos,loss,0 0,22 12,0 3,0 1,UFC Fight Night: Royval vs. Kape,"December. 13, 2025",U-DEC,3,5:00
Melissa Croden,Tainara Lisboa,win,1 0,99 42,2 2,0 0,UFC Fight Night: De Ridder vs. Allen,"October. 18, 2025",KO/TKO Punches,3,4:32
Kevin Croom,Alatengheili,loss,0 1,2 9,0 0,0 0,UFC Fight Night: Luque vs. Muhammad,"April. 16, 2022",KO/TKO Punches,1,0:47
Kevin Croom,Brian Kelleher,loss,0 1,60 38,0 6,0 0,UFC Fight Night: Kattar vs. Chikadze,"January. 15, 2022",U-DEC,3,5:00
Kevin Croom,Alex Caceres,loss,0 0,16 48,1 1,0 1,UFC Fight Night: Rozenstruik vs. Gane,"February. 27, 2021",U-DEC,3,5:00
Kevin Croom,Roosevelt Roberts,nc,1 0,5 2,0 0,1 0,UFC Fight Night: Waterson vs. Hill,"September. 12, 2020",Overturned Guillotine Choke,1,0:31
Kiefer Crosbie,Taiyilake Nueraji,loss,0 0,2 27,0 1,0 0,UFC Fight Night: Walker vs. Zhang,"August. 23, 2025",KO/TKO Elbows,1,3:33
Kiefer Crosbie,Sam Patterson,loss,0 0,9 9,0 1,0 1,UFC 304: Edwards vs. Muhammad 2,"July. 27, 2024",SUB Arm Triangle,1,2:50
Kiefer Crosbie,Kevin Jousset,loss,0 0,39 29,0 1,0 1,UFC 293: Adesanya vs. Strickland,"September. 9, 2023",SUB Rear Naked Choke,1,4:49
Ken Cross,Kevin Syler,win,0 0,33 21,1 1,0 2,DWCS 4.3,"August. 18, 2020",U-DEC,3,5:00
,,,,,,,,,,,
Allen Crowder,Jairzinho Rozenstruik,loss,0 1,0 4,0 0,0 0,UFC Fight Night: Moicano vs. The Korean Zombie,"June. 22, 2019",KO/TKO Punches,1,0:09
Allen Crowder,Greg Hardy,win,0 0,12 29,1 0,1 0,UFC Fight Night: Cejudo vs. Dillashaw,"January. 19, 2019",DQ,2,2:28
Allen Crowder,Justin Willis,loss,0 1,15 22,0 0,0 0,UFC 218: Holloway vs. Aldo 2,"December. 2, 2017",KO/TKO Punch,1,2:33
Allen Crowder,Don'Tale Mayes,win,0 0,45 17,2 0,1 0,DWCS 1.8,"August. 29, 2017",KO/TKO Elbows,3,4:12
Daron Cruickshank,Paul Felder,loss,0 0,32 46,3 2,0 3,UFC Fight Night: Dillashaw vs Cruz,"January. 17, 2016",SUB Rear Naked Choke,3,3:56
Daron Cruickshank,James Krause,loss,0 0,6 10,0 1,0 1,UFC on FOX: Dillashaw vs. Barao II,"July. 25, 2015",SUB Rear Naked Choke,1,1:27
Daron Cruickshank,Beneil Dariush,loss,0 0,17 27,0 1,0 2,UFC 185: Pettis vs Dos Anjos,"March. 14, 2015",SUB Rear Naked Choke,2,2:38
Daron Cruickshank,KJ Noons,nc,0 0,23 18,2 0,0 0,The Ultimate Fighter: A Champion Will Be Crowned Finale,"December. 12, 2014",CNC,2,0:25
Daron Cruickshank,Anthony Njokuani,win,0 0,42 40,6 0,0 0,UFC Fight Night: MacDonald vs Saffiedine,"October. 4, 2014",U-DEC,3,5:00
Daron Cruickshank,Jorge Masvidal,loss,1 0,19 51,2 2,1 2,UFC on FOX: Lawler vs Brown,"July. 26, 2014",U-DEC,3,5:00
Daron Cruickshank,Erik Koch,win,1 0,24 6,0 0,0 0,UFC Fight Night: Brown vs Silva,"May. 10, 2014",KO/TKO Kick,1,3:21
Daron Cruickshank,Mike Rio,win,2 0,46 10,1 0,1 1,UFC on FOX: Henderson vs Thomson,"January. 25, 2014",KO/TKO Kick,2,4:56
Daron Cruickshank,Adriano Martins,loss,0 0,8 16,0 1,0 1,UFC Fight Night: Belfort vs Henderson 2,"November. 9, 2013",SUB Straight Armbar,2,2:49
Daron Cruickshank,Yves Edwards,win,0 0,44 48,0 0,0 0,UFC on FOX: Johnson vs Moraga,"July. 27, 2013",S-DEC,3,5:00
Daron Cruickshank,John Makdessi,loss,0 0,51 86,0 0,0 0,UFC 158: St-Pierre vs Diaz,"March. 16, 2013",U-DEC,3,5:00
Daron Cruickshank,Henry Martinez,win,1 0,52 21,0 0,0 0,UFC on FOX: Henderson vs Diaz,"December. 8, 2012",KO/TKO Kick,2,2:57
Daron Cruickshank,Chris Tickle,win,0 0,17 16,4 1,0 2,The Ultimate Fighter: Live Finale,"June. 1, 2012",U-DEC,3,5:00
Richard Crunkilton,Dave Jansen,loss,0 0,38 25,1 8,3 2,WEC 43: Cerrone vs. Henderson,"October. 10, 2009",U-DEC,3,5:00
Richard Crunkilton,Sergio Gomez,win,0 0,24 24,9 0,2 0,WEC 33: Marshall vs. Stann,"March. 26, 2008",U-DEC,3,5:00
Richard Crunkilton,Rob McCullough,loss,0 3,5 16,0 0,0 0,WEC 30: McCullough vs. Crunkilton,,KO/TKO Punch,1,1:29
Richard Crunkilton,Mike Joy,win,0 1,24 9,5 0,1 0,WEC 25: McCullough vs. Cope,"January. 20, 2007",SUB D'Arce Choke,3,4:23
Richard Crunkilton,Nick Ertl,win,0 0,0 0,0 0,0 0,WEC 18: Unfinished Business,"January. 13, 2006",KO/TKO,2,3:55
Richard Crunkilton,Hermes Franca,loss,0 1,29 27,4 2,0 9,UFC 42: Sudden Impact,"April. 25, 2003",U-DEC,3,5:00
Jimmy Crute,Ivan Erslan,win,0 0,12 10,2 0,1 0,UFC Fight Night: Ulberg vs. Reyes,"September. 27, 2025",SUB Rear Naked Choke,1,3:19
Jimmy Crute,Marcin Prachnio,win,0 0,5 21,3 0,2 0,UFC 318: Holloway vs. Poirier 3,"July. 19, 2025",SUB Armbar,1,4:42
Jimmy Crute,Rodolfo Bellato,draw,1 0,106 89,0 1,0 0,UFC 312: Du Plessis vs. Strickland 2,"February. 8, 2025",M-DEC,3,5:00
Jimmy Crute,Alonzo Menifield,loss,0 0,26 21,1 0,0 1,UFC 290: Volkanovski vs. Rodriguez,"July. 8, 2023",SUB Guillotine Choke,2,1:55
Jimmy Crute,Alonzo Menifield,draw,0 2,31 56,6 0,3 0,UFC 284: Makhachev vs. Volkanovski,"February. 11, 2023",M-DEC,3,5:00
Jimmy Crute,Jamahal Hill,loss,0 1,6 4,0 0,0 0,UFC Fight Night: Font vs. Aldo,"December. 4, 2021",KO/TKO Punch,1,0:48
Jimmy Crute,Anthony Smith,loss,0 0,18 26,3 0,0 0,UFC 261: Usman vs. Masvidal 2,"April. 24, 2021",KO/TKO,1,5:00
Jimmy Crute,Modestas Bukauskas,win,2 0,17 7,0 0,0 0,UFC Fight Night: Ortega vs. The Korean Zombie,"October. 17, 2020",KO/TKO Punches,1,2:01
Jimmy Crute,Michal Oleksiejczuk,win,0 0,2 3,8 0,1 0,UFC Fight Night: Felder vs. Hooker,"February. 22, 2020",SUB Kimura,1,3:29
Jimmy Crute,Misha Cirkunov,loss,0 0,21 6,0 1,0 1,UFC Fight Night: Cowboy vs. Gaethje,"September. 14, 2019",SUB Peruvian Necktie,1,3:38
Jimmy Crute,Sam Alvey,win,1 0,14 3,0 0,0 0,UFC 234: Adesanya vs. Silva,"February. 9, 2019",KO/TKO Punches,1,2:49
Jimmy Crute,Paul Craig,win,0 0,17 12,1 3,4 0,UFC Fight Night: Dos Santos vs. Tuivasa,"December. 1, 2018",SUB Kimura,3,4:51
Jimmy Crute,Chris Birchler,win,0 0,65 41,0 0,0 0,DWCS 2.6,"July. 24, 2018",KO/TKO Punch,1,4:23
Marcio Cruz,Andrei Arlovski,loss,0 0,0 7,0 0,2 1,UFC 66: Liddell vs Ortiz 2,"December. 30, 2006",KO/TKO Punches,1,3:15
Marcio Cruz,Jeff Monson,loss,0 0,40 32,0 2,0 0,UFC 59: Reality Check,"April. 15, 2006",S-DEC,3,5:00
Marcio Cruz,Frank Mir,win,0 0,31 3,1 1,0 0,UFC 57: Liddell vs Couture 3,"February. 4, 2006",KO/TKO Punches,1,4:10
Marcio Cruz,Keigo Kunihara,win,0 0,12 1,0 2,1 1,UFC 55: Fury,"October. 7, 2005",SUB Rear Naked Choke,2,1:02
Dominick Cruz,Marlon Vera,loss,0 3,92 61,2 0,0 0,UFC Fight Night: Vera vs. Cruz,"August. 13, 2022",KO/TKO Kick,4,2:17
Dominick Cruz,Pedro Munhoz,win,0 1,103 74,1 0,0 0,UFC 269: Oliveira vs. Poirier,"December. 11, 2021",U-DEC,3,5:00
Dominick Cruz,Casey Kenney,win,0 0,89 74,2 0,0 0,UFC 259: Blachowicz vs. Adesanya,"March. 6, 2021",S-DEC,3,5:00
Dominick Cruz,Henry Cejudo,loss,0 1,33 53,0 1,0 0,UFC 249: Ferguson vs. Gaethje,,KO/TKO Knee,2,4:58
Dominick Cruz,Cody Garbrandt,loss,0 2,88 68,0 1,0 0,UFC 207: Nunes vs. Rousey,,U-DEC,5,5:00
Dominick Cruz,Urijah Faber,win,1 0,87 34,3 1,0 0,UFC 199: Rockhold vs. Bisping 2,,U-DEC,5,5:00
Dominick Cruz,TJ Dillashaw,win,0 0,112 109,4 1,0 0,UFC Fight Night: Dillashaw vs Cruz,,S-DEC,5,5:00
Dominick Cruz,Takeya Mizugaki,win,0 0,26 2,2 0,0 0,UFC 178: Johnson vs Cariaso,"September. 27, 2014",KO/TKO Punches,1,1:01
Dominick Cruz,Demetrious Johnson,win,0 0,60 63,10 1,1 0,UFC Live: Cruz vs Johnson,,U-DEC,5,5:00
Dominick Cruz,Urijah Faber,win,0 0,90 50,4 1,0 0,UFC 132: Cruz vs Faber,,U-DEC,5,5:00
Dominick Cruz,Scott Jorgensen,win,0 0,117 42,6 2,0 0,WEC 53: Henderson vs. Pettis,,U-DEC,5,5:00
Dominick Cruz,Joseph Benavidez,win,0 0,58 35,6 0,0 1,WEC 50: Cruz vs. Benavidez,,S-DEC,5,5:00
Dominick Cruz,Brian Bowles,win,0 0,42 15,2 0,0 0,WEC 47: Bowles vs. Cruz,,KO/TKO,2,5:00
Dominick Cruz,Joseph Benavidez,win,0 0,36 31,6 0,0 1,WEC 42: Torres vs. Bowles,"August. 9, 2009",U-DEC,3,5:00
Dominick Cruz,Ivan Lopez,win,0 0,30 12,7 0,0 0,WEC 40: Torres vs. Mizugaki,"April. 5, 2009",U-DEC,3,3:24
Dominick Cruz,Ian McCall,win,0 0,57 32,0 2,0 0,WEC 38: Varner vs. Cerrone,"January. 25, 2009",U-DEC,3,5:00
Dominick Cruz,Charlie Valencia,win,0 0,61 33,0 0,0 0,WEC 34: Faber vs. Pulver,"June. 1, 2008",U-DEC,3,5:00
Dominick Cruz,Urijah Faber,loss,0 0,4 4,2 0,0 1,WEC 26: Condit vs. Alessio,,SUB Guillotine Choke,1,1:38
Aalon Cruz,Uros Medic,loss,0 1,0 45,0 0,0 0,UFC 259: Blachowicz vs. Adesanya,"March. 6, 2021",KO/TKO Punches,1,1:40
Aalon Cruz,Spike Carlyle,loss,0 0,2 20,0 0,0 0,UFC Fight Night: Benavidez vs. Figueiredo,"February. 29, 2020",KO/TKO Punches,1,1:25
Aalon Cruz,Steven Nguyen,win,1 0,132 92,0 0,0 0,DWCS 3.6,"July. 30, 2019",KO/TKO Flying Knee,3,4:36
Timmy Cuamba,ChangHo Lee,win,0 0,23 15,2 3,0 0,UFC Fight Night: Garcia vs. Onama,"November. 1, 2025",U-DEC,3,5:00
Timmy Cuamba,Roberto Romero,win,1 0,33 35,1 0,0 0,UFC Fight Night: Machado Garry vs. Prates,"April. 26, 2025",KO/TKO Flying Knee,2,3:55
Timmy Cuamba,Lucas Almeida,loss,0 1,59 70,2 0,0 0,UFC Fight Night: Perez vs. Taira,"June. 15, 2024",U-DEC,3,5:00
Timmy Cuamba,Bolaji Oki,loss,0 0,33 60,1 1,0 0,UFC Fight Night: Hermansson vs. Pyfer,"February. 10, 2024",S-DEC,3,5:00
Timmy Cuamba,Mateo Vogel,win,0 0,43 67,0 1,0 0,DWCS 7.4,"August. 29, 2023",U-DEC,3,5:00
Jay Cucciniello,Brad Katona,loss,0 0,14 71,0 2,0 0,The Ultimate Fighter: Undefeated Finale,,U-DEC,3,5:00
,,,,,,,,,,,
Josh Culibao,Ricardo Ramos,loss,1 0,70 27,0 1,0 1,UFC 305: Du Plessis vs. Adesanya,"August. 17, 2024",S-DEC,3,5:00
Josh Culibao,Danny Silva,loss,0 0,87 45,0 4,0 1,UFC Fight Night: Tuivasa vs. Tybura,"March. 16, 2024",S-DEC,3,5:00
Josh Culibao,Lerone Murphy,loss,0 1,23 59,0 3,0 2,UFC Fight Night: Aspinall vs. Tybura,"July. 22, 2023",U-DEC,3,5:00
Josh Culibao,Melsik Baghdasaryan,win,0 0,16 26,0 0,1 0,UFC 284: Makhachev vs. Volkanovski,"February. 11, 2023",SUB Rear Naked Choke,2,2:02
Josh Culibao,SeungWoo Choi,win,2 0,51 46,0 1,0 0,UFC 275: Teixeira vs. Prochazka,"June. 11, 2022",S-DEC,3,5:00
Josh Culibao,Shayilan Nuerdanbieke,win,0 0,53 17,0 2,1 0,UFC Fight Night: Font vs. Garbrandt,"May. 22, 2021",U-DEC,3,5:00
Josh Culibao,Charles Jourdain,draw,1 0,46 44,0 0,0 3,UFC Fight Night: Holm vs. Aldana,"October. 3, 2020",S-DEC,3,5:00
Josh Culibao,Jalin Turner,loss,0 0,12 55,0 0,0 3,UFC Fight Night: Felder vs. Hooker,"February. 22, 2020",KO/TKO Punches,2,3:01
Chris Culley,Casey Olson,loss,-- --,-- --,-- --,-- --,Strikeforce Challengers 4,"November. 6, 2009",KO/TKO,1,2:32
Abel Cullum,Masakazu Imanari,loss,0 0,23 5,0 0,0 5,DREAM 17,"September. 24, 2011",SUB Armbar,3,0:46
Abel Cullum,Hideo Tokoro,loss,0 0,16 21,3 0,2 4,DREAM 9: Featherweight Grand Prix 2009 2nd Round,"May. 26, 2009",SUB Rear Naked Choke,2,1:38
Abel Cullum,Akiyo Nishiura,win,0 0,29 20,7 0,5 0,DREAM 7: Featherweight Grand Prix 2009 1st Round,"March. 8, 2009",U-DEC,2,5:00
Zak Cummings,Ed Herman,win,3 0,100 54,0 0,0 0,UFC Fight Night: Holloway vs. Allen,"April. 15, 2023",KO/TKO Punches,3,4:13
Zak Cummings,Alessio Di Chirico,win,1 0,54 53,0 0,0 0,UFC Fight Night: Smith vs. Rakic,"August. 29, 2020",U-DEC,3,5:00
Zak Cummings,Omari Akhmedov,loss,0 0,17 26,0 2,0 0,UFC 242: Khabib vs. Poirier,"September. 7, 2019",U-DEC,3,5:00
Zak Cummings,Trevin Giles,win,1 0,34 31,0 0,1 0,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",SUB Guillotine Choke,3,4:01
Zak Cummings,Trevor Smith,win,1 0,56 54,0 0,0 0,UFC Fight Night: Lee vs. Iaquinta,"December. 15, 2018",U-DEC,3,5:00
Zak Cummings,Michel Prazeres,loss,0 0,28 30,0 3,0 0,UFC Fight Night: Maia vs. Usman,"May. 19, 2018",S-DEC,3,5:00
Zak Cummings,Nathan Coy,win,0 0,25 23,0 1,2 0,UFC on FOX: Johnson vs. Reis,"April. 15, 2017",SUB Guillotine Choke,1,4:21
Zak Cummings,Alexander Yakovlev,win,0 0,24 18,0 1,1 0,UFC Fight Night: Mousasi vs. Hall 2,"November. 19, 2016",SUB Armbar,2,4:02
Zak Cummings,Santiago Ponzinibbio,loss,0 0,35 58,1 0,0 0,UFC Fight Night: Rodriguez vs. Caceres,"August. 6, 2016",U-DEC,3,5:00
Zak Cummings,Nicolas Dalby,win,1 0,56 57,1 0,1 0,UFC Fight Night: Rothwell vs Dos Santos,"April. 10, 2016",U-DEC,3,5:00
Zak Cummings,Dominique Steele,win,1 0,14 2,0 0,0 0,UFC on FOX: Dillashaw vs. Barao II,"July. 25, 2015",KO/TKO Punches,1,0:43
Zak Cummings,Gunnar Nelson,loss,0 0,18 13,0 1,0 1,UFC Fight Night: McGregor vs Brandao,"July. 19, 2014",SUB Rear Naked Choke,2,4:48
Zak Cummings,Yan Cabral,win,0 0,28 23,3 1,1 2,UFC Fight Night: Brown vs Silva,"May. 10, 2014",U-DEC,3,5:00
Zak Cummings,Ben Alloway,win,0 0,5 6,2 0,1 0,UFC Fight Night: Condit vs Kampmann 2,"August. 28, 2013",SUB D'Arce Choke,1,4:19
Zak Cummings,Tim Kennedy,loss,0 0,6 44,0 1,0 4,Strikeforce Challengers 3,"September. 25, 2009",SUB North-South Choke,2,2:43
,,,,,,,,,,,
Patrick Cummins,Ed Herman,loss,0 1,22 11,1 0,0 0,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",KO/TKO Knee,1,3:39
Patrick Cummins,Misha Cirkunov,loss,0 0,3 11,0 1,0 2,UFC Fight Night: Oezdemir vs. Smith,"October. 27, 2018",SUB Arm Triangle,1,2:40
Patrick Cummins,Corey Anderson,loss,0 0,31 64,0 12,0 0,UFC Fight Night: Barboza vs. Lee,"April. 21, 2018",U-DEC,3,5:00
Patrick Cummins,Gian Villante,win,0 0,86 72,1 0,0 0,UFC Fight Night: Weidman vs. Gastelum,"July. 22, 2017",S-DEC,3,5:00
Patrick Cummins,Jan Blachowicz,win,0 1,73 53,3 1,0 0,UFC 210: Cormier vs. Johnson 2,"April. 8, 2017",U-DEC,3,5:00
Patrick Cummins,Rogerio Nogueira,loss,0 1,12 30,0 0,0 0,UFC 198: Werdum vs Miocic,"May. 14, 2016",KO/TKO Punches,1,4:52
Patrick Cummins,Glover Teixeira,loss,0 0,33 54,4 0,0 0,UFC Fight Night: Belfort vs Henderson 3,"November. 7, 2015",KO/TKO Punches,2,1:12
Patrick Cummins,Rafael Cavalcante,win,0 0,49 23,8 0,0 0,UFC 190: Rousey vs Correia,"August. 1, 2015",KO/TKO Elbows,3,0:45
Patrick Cummins,Ovince Saint Preux,loss,0 1,14 18,1 0,0 0,UFC on FOX: Machida vs Rockhold,"April. 18, 2015",KO/TKO Punch,1,4:54
Patrick Cummins,Antonio Carlos Junior,win,0 0,62 12,4 1,0 1,UFC Fight Night: Machida vs Dollaway,"December. 20, 2014",U-DEC,3,5:00
Patrick Cummins,Kyle Kingsbury,win,0 0,73 22,10 0,0 0,UFC on FOX: Lawler vs Brown,"July. 26, 2014",U-DEC,3,5:00
Patrick Cummins,Roger Narvaez,win,0 0,32 3,3 0,1 0,UFC Fight Night: Henderson vs Khabilov,"June. 7, 2014",KO/TKO Punches,2,2:28
Patrick Cummins,Daniel Cormier,loss,0 1,8 18,0 0,0 0,UFC 170: Rousey vs McMann,"February. 22, 2014",KO/TKO Punch,1,1:19
Patrick Cummins,Terrell Brown,win,-- --,-- --,-- --,-- --,Strikeforce - Henderson vs. Babalu,"December. 4, 2010",KO/TKO Punches,1,2:44
Luke Cummo,Tamdan McCrory,loss,0 0,11 26,1 4,1 7,UFC 87: Seek And Destroy,"August. 9, 2008",U-DEC,3,5:00
Luke Cummo,Luigi Fioravanti,loss,0 0,16 32,0 13,0 0,UFC 82: Pride of a Champion,"March. 1, 2008",U-DEC,3,5:00
Luke Cummo,Edilberto de Oliveira,win,1 0,6 5,0 0,0 0,UFC Fight Night: Thomas vs Florian,"September. 19, 2007",KO/TKO Punches,1,1:45
Luke Cummo,Josh Haynes,win,1 0,38 9,0 1,0 0,UFC 69: Shootout,"April. 7, 2007",KO/TKO Punches,2,2:45
Luke Cummo,Jonathan Goulet,loss,2 0,13 18,0 6,3 0,UFC Fight Night 5,"June. 28, 2006",M-DEC,3,5:00
Luke Cummo,Jason Von Flue,win,0 0,43 17,3 2,3 1,UFC Fight Night 4,"April. 6, 2006",U-DEC,3,5:00
Luke Cummo,Joe Stevenson,loss,0 0,20 20,1 5,1 2,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,,U-DEC,3,5:00
Hugo Cunha,Rizvan Kuniev,loss,0 1,3 15,0 0,0 0,DWCS 8.2,"August. 20, 2024",KO/TKO Elbow,1,4:59
Alton Cunningham,Tony Johnson,loss,0 0,55 60,2 0,0 0,DWCS 3.2,"June. 25, 2019",U-DEC,3,5:00
Alton Cunningham,Bevon Lewis,loss,0 1,5 29,0 0,0 0,DWCS 2.4,"July. 10, 2018",KO/TKO Knees,1,3:01
AJ Cunningham,SuYoung You,loss,0 0,16 18,0 5,1 1,UFC Fight Night: Vettori vs. Dolidze 2,"March. 15, 2025",U-DEC,3,5:00
AJ Cunningham,Ludovit Klein,loss,0 1,36 60,0 2,0 0,UFC Fight Night: Rozenstruik vs. Gaziev,"March. 2, 2024",KO/TKO Kick,1,4:36
AJ Cunningham,Steven Nguyen,loss,0 1,69 103,0 0,0 0,DWCS 7.6,"September. 12, 2023",KO/TKO Punches,2,4:06
Tommy Cuozzi Jr.,Ramiro Jimenez,loss,0 1,7 41,0 1,0 0,DWCS 9.2,"August. 19, 2025",KO/TKO Punches,1,2:53
Santo Curatolo,Kleydson Rodrigues,loss,0 0,21 91,2 0,0 1,DWCS 5.4,"September. 21, 2021",U-DEC,3,5:00
Larry Cureton,Marco Ruas,loss,0 0,6 1,0 1,1 3,UFC 7: The Brawl in Buffalo,"September. 8, 1995",SUB Heel Hook,1,3:23
Larry Cureton,Todd Medina,loss,0 0,1 4,0 1,0 1,UFC 5: The Return of the Beast,"April. 7, 1995",SUB Forearm Choke,1,2:55
Jeff Curran,Johnny Eduardo,loss,0 0,31 51,0 0,0 0,UFC on FUEL TV: Korean Zombie vs Poirier,"May. 15, 2012",U-DEC,3,5:00
Jeff Curran,Scott Jorgensen,loss,0 0,41 42,0 5,1 0,UFC 137: Penn vs Diaz,"October. 29, 2011",U-DEC,3,5:00
Jeff Curran,Dustin Neace,win,-- --,-- --,-- --,-- --,Strikeforce - Fedor vs. Rogers,"November. 7, 2009",SUB Injury,1,1:39
