reach_diff,age_diff,height_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,wins_total_diff,losses_total_diff,target
2.539999999999992,-1.0,-5.079999999999984,0.94,-0.1099999999999998,-0.0099999999999999,-0.02,0.69,0.04,0.26,0.1999999999999999,-1,-1,0
12.699999999999989,4.0,7.6200000000000045,-1.2199999999999998,-3.3199999999999994,-0.02,0.13,4.75,0.5,0.5,0.2,3,-3,1
-2.539999999999992,-6.0,2.5400000000000205,-0.69,-1.2199999999999998,0.06,-0.01,0.5700000000000003,-0.37,-0.02,0.3,6,1,1
7.6200000000000045,2.0,5.0800000000000125,2.7300000000000004,-0.5999999999999996,0.08,0.0,-0.91,-0.28,0.43,-0.1999999999999999,-1,-2,1
-5.079999999999984,8.0,0.0,4.48,3.84,0.07,-0.22,-1.0399999999999998,-0.11,0.01,-0.1999999999999999,4,1,0
17.78,-2.0,7.619999999999976,0.4500000000000002,-2.9499999999999993,-0.1499999999999999,0.01,0.0,0.0,0.3399999999999999,0.8,8,3,1
-5.079999999999984,3.0,0.0,0.9900000000000002,0.4800000000000004,-0.0399999999999999,-0.0999999999999999,-0.93,0.1299999999999999,-0.54,0.3,4,2,0
-5.0800000000000125,-6.0,-10.159999999999997,-2.9299999999999997,-2.55,-0.1099999999999999,0.0999999999999999,1.39,0.1399999999999999,0.14,-0.1,-13,-6,0
-12.700000000000015,-7.0,-7.6200000000000045,-0.7200000000000002,-1.5300000000000002,0.0399999999999999,0.1100000000000001,-0.1300000000000001,-0.06,0.1699999999999999,-0.2,-6,-8,1
0.0,-1.0,0.0,-3.71,-4.0,0.06,0.03,-0.28,-1.0,-0.5599999999999999,0.3,5,3,1
0.0,7.0,-2.539999999999992,-0.6699999999999999,2.23,-0.0999999999999999,-0.2799999999999999,3.0,0.54,0.5,0.0,-3,0,0
5.079999999999984,-5.0,0.0,3.19,1.66,-0.0799999999999999,-0.13,8.379999999999999,0.0499999999999999,-0.1099999999999999,-1.3,0,1,0
0.0,6.0,-5.079999999999984,-1.36,0.27,-0.14,-0.0699999999999999,-0.7100000000000001,-0.2299999999999999,-0.5,-0.3,2,3,0
-7.6200000000000045,-7.0,-2.539999999999992,0.3599999999999999,1.6999999999999995,0.01,-0.12,-1.43,-0.33,-0.22,-0.1,-10,-1,0
-7.6200000000000045,9.0,-5.0800000000000125,-2.1,-1.5800000000000003,0.0199999999999999,-0.03,0.5000000000000001,-0.09,-0.13,0.3,15,12,1
0.0,-1.0,0.0,0.5700000000000003,-0.25,-0.0999999999999999,0.1799999999999999,-4.92,0.07,0.66,-0.3999999999999999,5,0,1
-15.240000000000007,0.0,-10.159999999999997,1.2100000000000004,1.14,0.0499999999999999,0.07,-1.92,-0.0399999999999999,0.04,-0.4,7,5,0
12.700000000000015,2.0,2.539999999999992,-2.1699999999999995,-1.2199999999999998,-0.0299999999999999,0.09,2.04,0.16,-0.1599999999999999,1.3,18,5,1
-2.539999999999992,1.0,-7.6200000000000045,-1.6499999999999997,-2.57,0.0,0.0299999999999999,2.26,0.0499999999999999,-0.23,0.0999999999999999,-3,0,0
-2.539999999999992,-3.0,-15.240000000000007,2.54,2.16,-0.01,0.04,-1.31,-0.6,0.2499999999999999,0.0,4,0,0
-12.699999999999989,-2.0,0.0,-1.1,-2.4400000000000004,0.0299999999999999,0.0299999999999999,0.5,0.06,-0.0899999999999999,2.4,4,-4,1
7.619999999999976,2.0,-2.539999999999992,-5.1000000000000005,-6.23,-0.1599999999999999,-0.0299999999999999,-3.0,-0.5,-0.3299999999999999,-0.2,2,2,0
25.40000000000001,4.0,0.0,0.33,-1.34,0.12,0.14,-0.7400000000000002,-0.35,-0.71,5.0,0,-2,1
-2.539999999999992,-2.0,-5.0800000000000125,0.1,0.8500000000000005,-0.0199999999999999,0.19,0.7299999999999999,-0.56,0.56,1.3,10,5,1
7.6200000000000045,-6.0,2.5400000000000205,-1.4700000000000002,2.4499999999999997,-0.0499999999999999,-0.07,2.93,0.5,0.5800000000000001,-0.6,-5,-3,0
5.079999999999984,-2.0,7.6200000000000045,3.3200000000000003,-1.9600000000000004,0.12,0.12,-0.18,0.0299999999999999,-0.0799999999999999,-0.6000000000000001,-5,-8,1
-2.539999999999992,7.0,-5.0800000000000125,-0.25,-0.6200000000000001,-0.03,0.11,-3.4299999999999997,-0.01,-0.0599999999999999,-0.1,17,6,1
5.0800000000000125,-5.0,0.0,1.1,1.59,-0.1999999999999999,-0.05,0.0799999999999999,0.13,-0.12,0.6,3,9,0
-5.079999999999984,10.0,-2.539999999999992,-3.45,-0.8499999999999996,-0.05,-0.12,2.03,0.22,-0.1999999999999999,0.3,5,5,0
0.0,5.0,-2.539999999999992,0.6499999999999995,0.4000000000000003,0.1,0.0299999999999999,1.0699999999999998,0.1099999999999999,0.13,-0.1,-4,-3,1
2.539999999999992,1.0,2.539999999999992,0.9899999999999998,1.09,-0.14,0.1899999999999999,-1.16,-0.0599999999999999,-0.44,-2.2,-2,1,1
7.6200000000000045,10.0,10.159999999999997,-0.1200000000000001,1.5800000000000003,-0.19,0.0799999999999999,-1.13,-0.28,-0.03,0.1999999999999999,4,4,0
0.0,-6.0,5.0800000000000125,-0.3900000000000001,-0.1400000000000001,0.04,-0.01,3.33,0.0,0.35,-0.5,-8,-14,1
